Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene,Y_Soot,U_Y_Soot,X_HC,U_X_HC,Temperature_K,U_Temperature_K,Corrected_Temperature_K,U_Corrected_Temperature_K
 1,0.0300,0.0009,0.02124,0.00108,0.0914,0.0182,0.0055,0.0004,0.0059,0.0002,0.0000,0.0000,0.0000,0.0000,0.4796,0.0122,0.0000,0.0000,0.335900,0.015219,0.0000,0.0000,0.024260,0.000708,0.00169,0.00008,0.00010,0.00002,0.000169,0.000007,0.000369,0.000021,0.0001,0.0000,0.35948,0.01526, 742.0,NaN, 742.0,NaN
 2,0.0359,0.0011,0.02170,0.00111,0.1091,0.0215,0.0064,0.0005,0.0093,0.0003,0.0000,0.0000,0.0000,0.0000,0.5581,0.0147,0.0000,0.0000,0.227595,0.010434,0.0000,0.0000,0.025545,0.000767,0.00178,0.00009,0.00012,0.00002,0.000164,0.000007,0.000398,0.000023,0.0002,0.0000,0.25175,0.01049, 948.0,NaN, 948.0,NaN
 4,0.0385,0.0012,0.02476,0.00128,0.1168,0.0230,0.0068,0.0005,0.0058,0.0002,0.0000,0.0000,0.0000,0.0000,0.5922,0.0160,0.0000,0.0000,0.177270,0.008201,0.0000,0.0000,0.031067,0.000952,0.00204,0.00010,0.00024,0.00004,0.000146,0.000006,0.000432,0.000025,0.0002,0.0000,0.20490,0.00830,1106.0,NaN,1106.0,NaN
 6,0.0407,0.0015,0.02331,0.00130,0.1626,0.0320,0.0068,0.0005,0.0064,0.0002,0.0000,0.0000,0.0000,0.0000,0.5946,0.0204,0.0000,0.0000,0.127509,0.006486,0.0000,0.0000,0.031037,0.001156,0.00249,0.00013,0.00026,0.00005,0.000108,0.000005,0.000434,0.000027,0.0005,0.0001,0.15410,0.00662,1188.0,NaN,1188.0,NaN
10,0.0423,0.0015,0.02038,0.00111,0.1510,0.0297,0.0074,0.0006,0.0200,0.0007,0.0000,0.0000,0.0000,0.0000,0.6490,0.0209,0.0000,0.0000,0.075731,0.003745,0.0000,0.0000,0.027538,0.000971,0.00207,0.00011,0.00028,0.00005,0.000086,0.000004,0.000360,0.000022,0.0005,0.0002,0.09891,0.00391,1283.0,NaN,1283.0,NaN
14,0.0428,0.0015,0.01956,0.00105,0.1417,0.0279,0.0077,0.0006,0.0251,0.0008,0.0000,0.0000,0.0000,0.0000,0.6729,0.0206,0.0000,0.0000,0.056718,0.002747,0.0000,0.0000,0.027022,0.000914,0.00198,0.00010,0.00026,0.00005,0.000083,0.000004,0.000307,0.000018,0.0008,0.0000,0.07890,0.00294,1330.0,NaN,1330.0,NaN
20,0.0388,0.0012,0.01323,0.00069,0.1264,0.0249,0.0079,0.0006,0.0552,0.0016,0.0000,0.0000,0.0000,0.0000,0.6984,0.0196,0.0000,0.0000,0.034674,0.001625,0.0000,0.0000,0.019545,0.000616,0.00133,0.00007,0.00019,0.00004,0.000069,0.000003,0.000263,0.000015,0.0005,0.0001,0.04976,0.00177,1350.0,NaN,1350.0,NaN
30,0.0296,0.0007,0.00407,0.00020,0.0730,0.0146,0.0086,0.0006,0.1081,0.0024,0.0000,0.0000,0.0000,0.0000,0.7563,0.0151,0.0000,0.0000,0.007964,0.000339,0.0000,0.0000,0.007654,0.000189,0.00052,0.00002,0.00009,0.00002,0.000023,0.000001,0.000093,0.000005,0.0002,0.0000,0.01275,0.00039,1207.0,NaN,1207.0,NaN
45,0.0181,0.0004,0.00078,0.00004,0.0336,0.0071,0.0088,0.0006,0.1524,0.0029,0.0000,0.0000,0.0000,0.0000,0.7797,0.0122,0.0000,0.0000,0.001035,0.000042,0.0000,0.0000,0.001544,0.000033,0.00012,0.00001,0.00004,0.00001,0.000000,0.000000,0.000011,0.000001,0.0001,0.0000,0.00198,0.00006, 967.0,NaN, 967.0,NaN
60,0.0120,0.0003,0.00000,0.00000,0.0229,0.0051,0.0085,0.0006,0.1710,0.0031,0.0000,0.0000,0.0000,0.0000,0.7812,0.0117,0.0000,0.0000,0.000189,0.000008,0.0000,0.0000,0.000342,0.000007,0.00000,0.00000,0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.00019,0.00001, 747.0,NaN, 747.0,NaN
75,0.0099,0.0002,0.00000,0.00000,0.0181,0.0042,0.0089,0.0006,0.1797,0.0032,0.0000,0.0000,0.0000,0.0000,0.7794,0.0114,0.0000,0.0000,0.000041,0.000002,0.0000,0.0000,0.000057,0.000001,0.00000,0.00000,0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.00004,0.00000, 528.0,NaN, 528.0,NaN
